datno	setno	division	subdivision	calage	calspan	calsigI	calsigD	calsigC	calseqno	c14age	c14sig	c14addsig	c14mulsig	ReservoirAge	ReservoirSig	labid	Date_Modified
7526	20	1	0	35118.0	10	298	0	0.0	313	30990	100	0	1.00	430	200	UCIAMS-21717	2012-12-21
7527	20	1	0	35199.0	10	292	0	0.0	314	30460	170	0	1.00	430	200	UCIAMS-2531	2012-12-21
7528	20	1	0	35199.0	10	292	0	0.0	315	31190	290	0	1.00	430	200	UCIAMS-21718	2012-12-21
7529	20	1	0	35352.0	10	285	0	0.0	316	31750	250	0	1.00	430	200	NSRL-12288	2012-12-21
7530	20	1	0	35479.0	10	287	0	0.0	317	31580	180	0	1.00	430	200	UCIAMS-2532	2012-12-21
7531	20	1	0	35649.0	10	302	0	0.0	318	31440	140	0	1.00	430	200	CAMS-52763	2012-12-21
7532	20	1	0	35806.0	10	313	0	0.0	319	31750	180	0	1.00	430	200	UCIAMS-2533	2012-12-21
7533	20	1	0	35897.0	10	309	0	0.0	320	31880	260	0	1.00	430	200	NSRL-12289	2012-12-21
7534	20	1	0	36005.0	10	295	0	0.0	321	32090	240	0	1.00	430	200	UCIAMS-2534	2012-12-21
7535	20	1	0	36113.0	10	275	0	0.0	322	32330	200	0	1.00	430	200	UCIAMS-2537	2012-12-21
7536	20	1	0	36180.0	10	262	0	0.0	323	31310	290	0	1.00	430	200	CAMS-53795	2012-12-21
7537	20	1	0	36254.0	10	249	0	0.0	324	32530	210	0	1.00	430	200	UCIAMS-2538	2012-12-21
7538	20	1	0	36409.0	10	227	0	0.0	325	32560	220	0	1.00	430	200	UCIAMS-2539	2012-12-21
7539	20	1	0	36509.0	10	219	0	0.0	326	32730	120	0	1.00	430	200	UCIAMS-21720	2012-12-21
7540	20	1	0	36621.0	10	216	0	0.0	327	32640	280	0	1.00	430	200	NSRL-12290	2012-12-21
7541	20	1	0	36719.0	10	217	0	0.0	328	33140	310	0	1.00	430	200	UCIAMS-3452	2012-12-21
7542	20	1	0	36851.0	10	220	0	0.0	329	32900	360	0	1.00	430	200	UCIAMS-21721	2012-12-21
7543	20	1	0	36990.0	10	224	0	0.0	330	33260	220	0	1.00	430	200	UCIAMS-2540	2012-12-21
7544	20	1	0	37136.0	10	227	0	0.0	331	33310	130	0	1.00	430	200	UCIAMS-21722	2012-12-21
7545	20	1	0	37255.0	10	228	0	0.0	332	33020	170	0	1.00	430	200	CAMS-52764	2012-12-21
7546	20	1	0	37558.0	10	223	0	0.0	333	33260	220	0	1.00	430	200	UCIAMS-21723	2012-12-21
7547	20	1	0	37709.0	10	217	0	0.0	334	33360	240	0	1.00	430	200	UCIAMS-2543	2012-12-21
7548	20	1	0	37974.0	10	202	0	0.0	335	33700	280	0	1.00	430	200	NSRL-12291	2012-12-21
7549	20	1	0	38113.0	10	194	0	0.0	336	33260	320	0	1.00	430	200	UCIAMS-3456	2012-12-21
7550	20	1	0	38367.0	10	189	0	0.0	337	33810	240	0	1.00	430	200	UCIAMS-2544	2012-12-21
7551	20	1	0	38562.0	10	205	0	0.0	338	33920	180	0	1.00	430	200	CAMS-52765	2012-12-21
7552	20	1	0	38752.0	10	231	0	0.0	339	33790	150	0	1.00	430	200	UCIAMS-17581	2012-12-21
7553	20	1	0	38752.0	10	231	0	0.0	340	34400	370	0	1.00	430	200	NSRL-13085	2012-12-21
7554	20	1	0	38822.0	10	242	0	0.0	341	33710	440	0	1.00	430	200	UCIAMS-3457	2012-12-21
7555	20	1	0	38822.0	10	242	0	0.0	342	33910	250	0	1.00	430	200	UCIAMS-3559	2012-12-21
7556	20	1	0	38990.0	10	264	0	0.0	343	34100	300	0	1.00	430	200	NSRL-12292	2012-12-21
7557	20	1	0	39072.0	10	272	0	0.0	344	34340	420	0	1.00	430	200	UCIAMS-3458	2012-12-21
7558	20	1	0	39223.0	10	282	0	0.0	345	35010	330	0	1.00	430	200	NSRL-12293	2012-12-21
7559	20	1	0	39223.0	10	282	0	0.0	346	34520	150	0	1.00	430	200	UCIAMS-21724	2012-12-21
7560	20	1	0	39402.0	10	287	0	0.0	347	34620	220	0	1.00	430	200	CAMS-52766	2012-12-21
7561	20	1	0	39584.0	10	293	0	0.0	348	34640	320	0	1.00	430	200	NSRL-12294	2012-12-21
7562	20	1	0	39938.0	10	312	0	0.0	349	35100	390	0	1.00	430	200	NSRL-12295	2012-12-21
7563	20	1	0	40040.0	10	318	0	0.0	350	35090	150	0	1.00	430	200	UCIAMS-16550	2012-12-21
7564	20	1	0	40310.0	10	333	0	0.0	351	36000	380	0	1.00	430	200	NSRL-12296	2012-12-21
7565	20	1	0	40310.0	10	333	0	0.0	352	34680	150	0	1.00	430	200	UCIAMS-21728	2012-12-21
7566	20	1	0	40449.0	10	339	0	0.0	353	35020	150	0	1.00	430	200	UCIAMS-21729	2012-12-21
7567	20	1	0	40563.0	10	343	0	0.0	354	35300	210	0	1.00	430	200	CAMS-52767	2012-12-21
7568	20	1	0	40853.0	10	347	0	0.0	355	35800	370	0	1.00	430	200	NSRL-12297	2012-12-21
