setno calage c14age c14sig calsig
9 4222.0 3806 37 23
9 4126.0 3700 37 24
9 4088.0 3815 28 26
9 3956.0 3650 35 23
9 3895.0 3620 30 23
9 3805.0 3527 37 25
9 3699.0 3436 30 22
9 3586.0 3340 37 22
9 3525.0 3331 37 23
9 3369.0 3152 28 20
9 3297.0 3251 36 26
9 3153.0 2943 27 30
9 3091.0 2952 38 33
9 2947.0 2964 30 40
9 2825.0 2760 37 38
9 2632.0 2514 35 40
9 2516.0 2426 25 38
9 2516.0 2489 26 38
9 2516.0 2499 37 38
9 2454.0 2483 28 37
9 2454.0 2456 35 37
9 2392.0 2411 37 34
9 2337.0 2227 24 36
9 2290.0 2308 35 39
9 2148.0 2109 27 41
9 2148.0 2123 27 41
9 2105.0 2256 37 41
9 1971.0 2046 35 31
9 1912.0 1915 26 29
9 1810.0 1944 37 29
9 1697.0 1744 24 21
9 1697.0 1775 35 21
9 1639.0 1809 37 21
9 1576.0 1798 29 23
9 1400.0 1535 35 18
9 1350.0 1445 26 17
9 1262.0 1344 35 21
9 1109.0 1251 22 22
9 1004.0 1125 35 19
9 903.0 927 24 14
9 680.0 757 37 15
9 580.0 694 35 18
9 442.0 457 35 41
9 423.0 505 23 45
9 406.0 406 35 48
9 268.0 259 24 72
9 182.0 96 27 85
9 182.0 136 37 85
